DataYear	BuildingType	PrimaryPropertyType	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFAParking	PropertyGFABuilding(s)	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseType	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kBtu)	NaturalGas(kBtu)	DefaultData	ComplianceStatus	Latitude	Longitude	GHGEmissionsIntensity	TotalGHGEmissions	GFA	Age	SiteEnergyUse(kBtu)_log2p	TotalGHGEmissions_log2
2015	NonResidential	Lodging	1927	12.0	12.0	88434	0	88434	Lodging	88434.0	noInfo	0.0	noInfo	0.0	65.0	78.9	80.3	173.5	175.1	6981428.0	7097539.0	2023032.0	3686160.0	1272388.0	No	Compliant	47.61219025	-122.33799744	2.64	249.43	614.125	88	22.73509093530175	7.962491184406369
2015	NonResidential	Lodging	1996	11.0	11.0	103566	15064	88502	Lodging	83880.0	Other	15064.0	Food	4622.0	51.0	94.4	99.0	191.3	195.2	8354235.0	8765788.0	0.0	3905411.0	4448985.0	No	Compliant	47.61310583	-122.33335756	2.38	263.51	855.917355371901	19	22.99407646829777	8.041713901833266
2015	NonResidential	Lodging	1969	41.0	41.0	961990	0	961990	Lodging	757243.0	Other	100000.0	Entertainment	0.0	18.0	96.6	99.7	242.7	246.5	73130656.0	75506272.0	19660404.0	49762435.0	3709900.0	Yes	Compliant	47.61334897	-122.33769944	1.92	2061.48	572.2724568709101	46	26.123972987352953	11.009464749263866
2015	NonResidential	Lodging	1926	10.0	10.0	61320	0	61320	Lodging	61320.0	noInfo	0.0	noInfo	0.0	1.0	460.4	462.5	636.3	643.2	28229320.0	28363444.0	23458518.0	2769023.0	2001894.0	No	Compliant	47.61421585	-122.33660889	31.38	1936.34	613.2	89	24.750691092265395	10.919116580893782
2015	NonResidential	Lodging	1980	18.0	18.0	119890	12460	107430	Lodging	123445.0	Other	68009.0	Entertainment	0.0	67.0	120.1	122.1	228.8	227.1	14829099.0	15078243.0	0.0	6066245.0	8763105.0	No	Compliant	47.6137544	-122.3409238	4.02	507.7	370.0308641975309	35	23.82192770536634	8.98783244984226
2015	NonResidential	Lodging	1926	11.0	11.0	83008	0	83008	Lodging	81352.0	noInfo	0.0	noInfo	0.0	25.0	76.9	79.6	149.5	158.2	6252842.0	6477493.0	0.0	2679698.0	3573255.0	No	Compliant	47.6141141	-122.33274086	2.37	208.46	686.0165289256198	89	22.576080863006137	7.70362677086498
2015	NonResidential	Lodging	1904	15.0	15.0	163984	0	163984	Lodging	163984.0	noInfo	0.0	noInfo	0.0	46.0	77.0	82.9	174.6	186.8	12633744.0	13589025.0	0.0	7355649.0	5278400.0	No	Compliant	47.60258934	-122.33255325	1.83	331.61	728.8177777777778	111	23.590779022423597	8.373343703040469
2015	Multifamily MR (5-9)	Lodging	1910	6.0	6.0	63712	1496	62216	Lodging	56132.0	noInfo	0.0	noInfo	0.0	2.0	81.7	92.7	178.1	190.8	4587231.0	5203458.0	1483476.0	2370050.0	733803.0	No	Compliant	47.60278416	-122.33214887	2.51	170.0	1769.7777777777776	105	22.129192443124136	7.409390936137702
2015	NonResidential	Lodging	1998	25.0	25.0	333176	61161	272015	Lodging	336640.0	noInfo	0.0	noInfo	0.0	32.0	82.3	83.1	207.2	208.0	27717026.0	27970822.0	5426396.0	19058722.0	3232700.0	No	Compliant	47.60718204	-122.33347215	1.93	723.4	533.0816	17	24.724269182784063	9.498649787768413
2015	NonResidential	Lodging	1928	9.0	9.0	65009	0	65009	Lodging	65009.0	noInfo	0.0	noInfo	0.0	39.0	104.7	96.8	166.5	158.2	6807227.0	6292213.0	1987163.0	1615057.0	3205074.0	No	Compliant	47.60709939	-122.33310536	5.04	334.87	802.5802469135803	87	22.69863600121815	8.38745732488215
